Date,Open,High,Low,Close,Adj Close,Volume,Day
2020-11-18,18.370001,18.92,18.32,18.719999,17.969902,2297800,421
2020-11-19,18.459999,18.99,18.01,18.92,18.16189,1869900,422
2020-11-20,18.860001,18.879999,18.59,18.77,18.0179,788800,423
2020-11-23,18.82,19.094999,18.67,19.01,18.248287,1374100,424
2020-11-24,19.440001,19.690001,19.049999,19.5,18.718651,2501400,425
2020-11-25,19.35,19.549999,19.1,19.49,18.709049,1607900,426
2020-11-27,19.58,19.75,19,19.16,18.392273,1075400,427
2020-11-30,19.190001,19.205,18.32,18.389999,17.653128,2365900,428
2020-12-01,18.709999,19.02,18.35,18.780001,18.0275,1265100,429
2020-12-02,18.700001,18.889999,18.459999,18.870001,18.113895,684900,430
2020-12-03,18.969999,19.43,18.799999,19.4,18.622656,1699300,431
2020-12-04,19.52,19.93,19.43,19.83,19.035425,1414500,432
2020-12-07,19.629999,19.629999,19.299999,19.42,18.641859,1532800,433
2020-12-08,19.280001,19.91,19.280001,19.790001,18.997032,787900,434
2020-12-09,19.76,20.370001,19.65,20.25,19.438595,1982000,435
2020-12-10,20.76,21.24,20.25,20.780001,19.947363,3560400,436
2020-12-11,20.450001,20.68,20.295,20.49,19.66898,1565400,437
2020-12-14,20.76,20.83,20.264999,20.33,19.51539,1250600,438
2020-12-15,20.559999,20.82,20.379999,20.82,19.985758,1153000,439
2020-12-16,20.84,21.42,20.700001,21.35,20.494522,1397500,440
2020-12-17,21.360001,21.549999,21.049999,21.469999,20.609711,1264700,441
2020-12-18,21.370001,21.83,21.254999,21.549999,20.686506,1660200,442
2020-12-21,21.1,21.665001,21.01,21.530001,20.667309,1091600,443
2020-12-22,21.690001,21.700001,21.049999,21.120001,20.273739,803200,444
2020-12-23,21.02,21.299999,21.01,21.129999,20.283335,1015900,445
2020-12-24,21.1,21.120001,20.549999,20.610001,19.784172,405000,446
2020-12-28,20.690001,20.940001,20.315001,20.33,19.51539,926700,447
2020-12-29,20.120001,20.299999,19.540001,19.82,19.025827,1173800,448
2020-12-30,20,20.610001,19.959999,20.42,19.601784,1561500,449
2020-12-31,20.459999,20.49,20.030001,20.08,19.275412,555900,450
2021-01-04,20.15,20.280001,19.409,19.65,18.862642,1627000,451
2021-01-05,19.620001,20.129999,19.620001,19.969999,19.169817,911100,452
2021-01-06,20.34,21.08,20.18,20.559999,19.736177,1603300,453
2021-01-07,20.870001,20.92,20.190001,20.32,19.505795,1373800,454
2021-01-08,20.32,20.709999,20.309999,20.5,19.678581,979600,455
2021-01-11,20.52,21.33,20.309999,21.32,20.465725,1622300,456
2021-01-12,21.26,22.639999,21.26,22.49,21.588842,2402600,457
2021-01-13,22.299999,22.33,21.4,21.57,20.705706,1502400,458
2021-01-14,21.76,22.01,21.6,21.65,20.782499,1337700,459
2021-01-15,21.639999,21.639999,20.940001,21.34,20.484924,922000,460
2021-01-19,21.35,21.5,20.82,21.129999,20.283335,1042000,461
2021-01-20,21.01,21.41,21.01,21.129999,20.283335,705300,462
2021-01-21,21.15,21.450001,20.82,20.85,20.014553,911600,463
2021-01-22,20.709999,21.139999,20.33,20.799999,19.966558,900200,464
2021-01-25,20.799999,21.5,20.639999,21.24,20.388931,1369600,465
2021-01-26,21.6,22.16,20.799999,21.35,20.494522,1893600,466
2021-01-27,21,22.200001,20.76,22,21.118479,2652700,467
2021-01-28,20.91,21.5,20.02,20.74,19.908964,4138000,468
2021-01-29,20.299999,20.530001,19.57,19.709999,18.920235,1959600,469
2021-02-01,19.76,19.93,19.32,19.68,18.891436,1244600,470
2021-02-02,19.73,19.988001,19.25,19.74,18.949032,1475100,471
